symbol,price,change,change_percent,timestamp,source
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:45:06,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:31,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:36,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:41,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:47,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:52,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:45:57,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:02,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:07,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:12,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:17,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:22,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:27,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:32,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:37,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:42,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:47,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:52,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:46:57,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:02,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:07,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:12,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:17,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:22,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:27,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:47:32,yfinance
